Track title,Album title,ArtistsDuration (ms),Artist IDs,Track ID,Album ID
Realize,POWER UP,AC/DC,217466,4JDjZ2AzlHnde5uUy0TveV,3bTNxJYk2bwdWBMtrjBxb0,711MCceyCBcFnzjGY4Q7Un
Rejection,POWER UP,AC/DC,246466,4gLrfXB3CgRlIPH7KTVKA4,3bTNxJYk2bwdWBMtrjBxb0,711MCceyCBcFnzjGY4Q7Un
Shot In The Dark,POWER UP,AC/DC,185133,0sfdiwck2xr4PteGOdyOfz,3bTNxJYk2bwdWBMtrjBxb0,711MCceyCBcFnzjGY4Q7Un
Through The Mists Of Time,POWER UP,AC/DC,212226,3FR2w9O5i9q3unY3gyjq6E,3bTNxJYk2bwdWBMtrjBxb0,711MCceyCBcFnzjGY4Q7Un
Kick You When You're Down,POWER UP,AC/DC,190333,0Kq6RzOqkHxnfiA9OGqReU,3bTNxJYk2bwdWBMtrjBxb0,711MCceyCBcFnzjGY4Q7Un
Witch's Spell,POWER UP,AC/DC,222253,06hy0gi5aLXcWRjnj9fgoh,3bTNxJYk2bwdWBMtrjBxb0,711MCceyCBcFnzjGY4Q7Un
Demon Fire,POWER UP,AC/DC,210360,6jtUOVRO4p09Z7E35ERRL7,3bTNxJYk2bwdWBMtrjBxb0,711MCceyCBcFnzjGY4Q7Un
Wild Reputation,POWER UP,AC/DC,174400,1ZyQEn0iceHj0Lbt6I6Op3,3bTNxJYk2bwdWBMtrjBxb0,711MCceyCBcFnzjGY4Q7Un
No Man's Land,POWER UP,AC/DC,219640,3fKXS93P7YOS4xEUnWzkUz,3bTNxJYk2bwdWBMtrjBxb0,711MCceyCBcFnzjGY4Q7Un
Systems Down,POWER UP,AC/DC,192640,1uhPCuhxeC9wEYl7smMByK,3bTNxJYk2bwdWBMtrjBxb0,711MCceyCBcFnzjGY4Q7Un
Money Shot,POWER UP,AC/DC,185320,0l3jBCAEdeLR9OgQqES9CI,3bTNxJYk2bwdWBMtrjBxb0,711MCceyCBcFnzjGY4Q7Un
