Track title,Album title,ArtistsDuration (ms),Artist IDs,Track ID,Album ID,
,,,,,,
Strange Timez (feat. Robert Smith),"Song Machine, Season One: Strange Timez (Deluxe)",Gorillaz | Robert Smith,227500,0frmORz5LYChWva2POzy1L,1yCnOPMq0BVzKKn97HiIFp,3AA28KZvwAUcZuOKwyblJQ | 6G7P2EzH5A36ujN9VPm4B0
,,,,,,
The Valley of The Pagans (feat. Beck),"Song Machine, Season One: Strange Timez (Deluxe)",Gorillaz | Beck,180973,2Y7z6HNMWzLN4MwoB5UZjm,1yCnOPMq0BVzKKn97HiIFp,3AA28KZvwAUcZuOKwyblJQ | 3vbKDsSS70ZX9D2OcvbZmS
,,,,,,
The Lost Chord (feat. Leee John),"Song Machine, Season One: Strange Timez (Deluxe)",Gorillaz | Leee John,243546,7unMnQOHOQdxoQxWGQka2C,1yCnOPMq0BVzKKn97HiIFp,3AA28KZvwAUcZuOKwyblJQ | 4FyDcMx1NsTjaQuj8kGfm4
,,,,,,
Pac-Man (feat. ScHoolboy Q),"Song Machine, Season One: Strange Timez (Deluxe)",Gorillaz | ScHoolboy Q,192880,4H4WF5QKtbiGl7gdnGJ5QC,1yCnOPMq0BVzKKn97HiIFp,3AA28KZvwAUcZuOKwyblJQ | 5IcR3N7QB1j6KBL8eImZ8m
,,,,,,
Chalk Tablet Towers (feat. St Vincent),"Song Machine, Season One: Strange Timez (Deluxe)",Gorillaz | St. Vincent,182666,4zZkXhioDhq9MZnWsFzJsH,1yCnOPMq0BVzKKn97HiIFp,3AA28KZvwAUcZuOKwyblJQ | 7bcbShaqKdcyjnmv4Ix8j6
,,,,,,
The Pink Phantom (feat. Elton John and 6LACK),"Song Machine, Season One: Strange Timez (Deluxe)",Gorillaz | Elton John | 6LACK,253126,317NHDFQTxayqc69cimMLS,1yCnOPMq0BVzKKn97HiIFp,3AA28KZvwAUcZuOKwyblJQ | 3PhoLpVuITZKcymswpck5b | 4IVAbR2w4JJNJDDRFP3E83
,,,,,,
