Track title,Album title,duration (ms),Artist namesArtist IDs,track ID,album ID
Svag,Svag,191103,Victor Leksell,6RJXSfbIkEMoCJ8GAg2dVO,6RJXSfbIkEMoCJ8GAg2dVO,1ziSjnoTBS1nSkBouFNjGU
Macho,Macho,182353,Oral Bee | Emil Solli-Tangen | Mr. Pimp-Lotion,4QawfzCb5NbFRNn4BySXb1 | 1tetMlpcLNmnZ5mpbzKJhq | 6mRXYOEezrC6RPOtpmEi0X,4QawfzCb5NbFRNn4BySXb1,4bxxsXJNewBFL6dGZ38M3j
Jag Vet Du Vill Ha Mig,Jag Vet Du Vill Ha Mig,135211,Unge Lama | B3nte | Tigergutt,17FU6Qmo3DRxs1xxyxbUOd | 2ykUp1K8tRaOUFd8vvcwXl | 1z1NoVebO8aTxKa37rWx9t,17FU6Qmo3DRxs1xxyxbUOd,4xYcIZossd8KB18pYJWuGh
Coka,Coka,200816,Rvzeli | Uncle Murda | Dani M | Unge Balison | Galexy,1ufmj2rsu21unXQ7C6naYy | 3kortApcf0ntRWexUkJE4H | 5ILMkt5lW4KAyTXMNYWaGF | 5YkuG9dezhs74fwVv9zNMT | 3MMjGIkIKRjiYerN0Med7F,1ufmj2rsu21unXQ7C6naYy,2U0ZweD2IGUF2zkn1SPVNN
FEEL IT,FEEL IT,165517,Cezur III,6k5E0fXMSORheufkMMEVYn,6k5E0fXMSORheufkMMEVYn,5esVk8wEW119Nt0MoHEfSY
How Can I Live,How Can I Live,136309,WIESE,4aFRdYZpWEuAIA89aSnv7D,4aFRdYZpWEuAIA89aSnv7D,3udN9b3N2qW4bGL0RQaAqC
Hon tror jag har Corona,Hon tror jag har Corona,134228,Mozby | Örnen | Unge Lama,6kxzjvqTwQHtqzObBTJHh6 | 5qr9oJEKhqbjVAFxyYIKKy | 17FU6Qmo3DRxs1xxyxbUOd,6kxzjvqTwQHtqzObBTJHh6,2n3ecKMvAqPnoqhUVeWLog
Mirakel,Mirakel,201795,Jlnii | GardifraBetongen,1dxBLIHKYqJJjNLgovtXtM | 7d5cWkJslnjxnPEQhjEZN0,1dxBLIHKYqJJjNLgovtXtM,2i3IrsMwAYppaYCJIwHatc
Hele Natta (Hovedstaden 2020),Hele Natta (Hovedstaden 2020),199164,Uvaag | Rennem | Archer | Truse Tarzan,5NvitpLfouTH18FjaKGh7S | 5OhnEEZkoOXRyPTK9cC6Kq | 5nhwZTZri5arEhPjYJVtfe | 2wvRnhwhYuLc04HMOciPiZ,5NvitpLfouTH18FjaKGh7S,5UROJIQry7JCh3tXWi5t81
1 TIME,1 TIME,161012,ego,7gHyf9B2QETXJdJpm7HpmK,7gHyf9B2QETXJdJpm7HpmK,4Gf1wwpIOJWGYk0hIdqorU
